@RELATION ontolo_new_trop

@ATTRIBUTE cooc NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE relation {"ant","tmp","ent","pre"}
@ATTRIBUTE correct {"+","-"}


@DATA
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,pre,+
0,0,tmp,-
0,0,ant,-
0,1,ent,-
0.0037105751391465678,0,ent,-
0,1,tmp,-
0.18181818181818182,1,tmp,-
0,0,ant,-
0,1,pre,-
0,2,ent,-
0,0,pre,-
0.06996738808182627,1,ent,-
0,0,ant,-
0,0,ant,-
0.0196078431372549,1,ant,-
0.0033333333333333335,1,ent,-
0,0,ant,-
0,2,ant,-
0,0,ant,-
0,1,ant,-
0,1,ant,-
0,2,ent,-
0.0380952380952381,0,ant,-
0.07758620689655173,1,ant,-
0,1,ent,-
0,1,ant,-
0.11764705882352941,0,ant,-
0,0,ant,-
0,0,ant,-
0.3333333333333333,4,ant,-
0,2,tmp,-
0.046153846153846156,0,ant,-
0,0,pre,-
0.01589825119236884,3,ent,-
0,0,ant,-
0.006578947368421052,0,ent,-
0.04411764705882353,0,pre,-
0.05,0,ent,-
0,1,tmp,-
0,0,tmp,-
0.021209740769835034,0,ent,-
0,0,ent,-
0,2,tmp,-
0,0,ant,-
0.041666666666666664,0,ant,-
0,0,ant,-
0,0,pre,-
0,0,ant,-
0,0,ent,-
0,1,ent,-
0,0,ant,-
0,1,ant,-
0,0,ant,-
0,0,ent,-
0,1,pre,-
0,0,ent,-
0,0,ent,-
0,0,ant,-
0.03333333333333333,0,ant,-
0,1,tmp,-
